file	unit	lesson	title	headings	intro_first_sentence	example_count	you-try_count	you-try-m_count	think_count	remember_count	gotcha_count	real-world_count	note_count	you_try_titles	remember_snippets	gotcha_snippets	think_snippets
chapters/Unit_3/3.4_Equations_with_Variables_on_Both_Sides.qmd	3	3.4	3.4 - Solving Equations With Variables on Both Sides	3.4.3 - Word Problems with Variables on Both Sides	So far, every equation we solved had the variable on one side only.	8	2	1	0	1	1	0	0	Solve $5x + 3 = 2x + 12$.|Solve $2(x + 4) = x + 10$.	When solving an equation with variables on both sides:	It can't be said enough, what you do to one side of an equation, you **must** do to the other side. Otherwise the equat…	
chapters/Unit_3/3.5_Equations_With_No_or_Infinite_Solutions.qmd	3	3.5	3.5 - Equations With No or Infinite Solutions		So far, every equation we solved had exactly one solution.	7	0	1	0	3	0	0	0		If you solve an equation and end up with two different numbers on either side of the equals sign, there is no solution. | If you solve an equation and get the same thing on each side of the equal sign, the problem has infinitely many solutio…		
chapters/Unit_3/3.6_Solving_Inequalities.qmd	3	3.6	3.6 - Solving Inequalities		You have \$20 in your pocket and want to buy some candy at the grocery store.	8	0	0	0	0	1	0	0			Don't forget to *flip the sign* when you multiply or divide by a negative number. If you are in doubt, you can always t…	
chapters/Unit_3/3.7_Solving_Literal_Equations.qmd	3	3.7	3.7 - Solving Literal Equations		Imagine you’re asked to solve for time $t$ in the equation $d = rt$.	7	3	0	0	0	0	0	0	Solve $V = IR$ for $I$|Solve $3a + b = 2c$ for $b$|Solve $PV = nR(T + 2)$ for $T$.			
chapters/Unit_4/4.1_Graphing_Function_Rules.qmd	4	4.1	4.1 - Graphing Function Rules		So far, you've worked with rules that take an input, do something to it, and give an output.	3	1	1	1	1	0	0	1	Using $x = -1, 1,$ and $3$, graph $g(x) = 3x - 2$.	$f(x)$ means the same thing as $y$.		Yes! Each $x$ value gives only one $y$ value.
chapters/Unit_4/4.2_Understanding_Slope.qmd	4	4.2	4.2 - Understanding Slope		In the previous lesson, you graphed straight lines by making a table of $x$ and $y$ values.	5	1	1	3	0	0	0	0	Calculate the slope between $(0, 95)$ and $(-50, 2)$			"| Panel |    Direction    | Change in y Compared to Change in x | | It means the line is **horizontal**. If $y$-values don't change as $x$ changes, then there is no ""rise""."
chapters/Unit_4/4.3_The_Equation_of_a_Line.qmd	4	4.3	4.3 - The Equation of a Line		In the last lesson, you learned how to find and use the **slope** of a line.	5	4	0	0	1	0	0	0	Graph the line with slope $m = \tfrac{3}{2}$ that passes through $(2, 2)$|Find the y-intercept for ${f}(x) = 2x - 4$|Find the x- and y-intercepts for $y = 2x + 1$|Graph the line ${f}(x) = 3x - 2$	To find intercepts:		
chapters/Unit_4/4.4_Writing_Linear_Equations.qmd	4	4.4	4.4 - Writing Linear Equations		In the last lesson, you learned how slope and intercept describe a line.	10	3	2	0	0	0	0	1	Find the equation for a line with slope 2 and y-intercept 7|Find the equation of the line with slope $m = \tfrac{1}{2}$ that passes through $(4, 3)$.|Find the equation of the line passing through $(0, -2)$ and $(3, 4)$.			
chapters/Unit_4/4.5_Systems_of_Equations.qmd	4	4.5	4.5 - Systems of Equations		So far, you’ve graphed **one line at a time**, each showing a single rule or relationship.	9	0	1	0	0	0	0	2				
chapters/Unit_4/4.6_Linear_Models_in_the_Real_World.qmd	4	4.6	4.6 - Linear Models in the Real World		Real life is full of linear patterns.	7	3	0	4	0	0	0	1	What will the temperature be after 15 minutes?|How much will it cost to ride 20 miles?|Predict the fuel efficiency for a car weighing 3450 lbs.			$$ | We can use either equation.
chapters/Unit_4/4.7_Graphing_Linear_Inequalities.qmd	4	4.7	4.7 - Graphing Linear Inequalities		You’ve learned how to **graph lines** from equations like $y = 2x + 3$.	8	2	1	0	1	1	0	0	Graph the inequality $y < 3x - 5$|Solve and graph 4x - 2y ≤ 8	Each shaded region shows where **one inequality** is true.	When you multiply or divide both sides by a **negative number**, the inequality **reverses direction**.	
chapters/Unit_5/5.1_Exponent_Rules.qmd	5	5.1	5.1 - Exponent Rules		When we start working with algebraic expressions, we quickly see powers like $x^2$, $x^3$, or $x^4$.	11	9	0	0	0	1	0	3	Simplify $x^9 \cdot x^3$|Simplify $\dfrac{p^9}{p^4}$|Simplify $(x^3)^2$|Simplify $(3y)^3$|Simplify $\left(\dfrac{2m}{5}\right)^3$|Simplify $(3a^4)^0$|Rewrite with positive exponents: $\dfrac{3x^{-2}y^3}{6x^5y^{-1}}$|Simplify $16^{\tfrac{3}{4}}$		**Common Mistakes to Avoid**	
chapters/Unit_5/5.2_Simplifying_Polynomials.qmd	5	5.2	5.2 - Simplifying Polynomials		In the last lesson, you learned how exponents behave: how powers multiply, divide, and combine.	6	1	1	0	0	0	0	0	Simplify and write $-3x(2 - 5x - x^2) + 4x - 1$ in standard form.			
chapters/Unit_5/5.3_Multiplying_Polynomials.qmd	5	5.3	5.3 - Multiplying Polynomials		You already know how to multiply a single term by a polynomial, distribute and combine like terms.	6	5	0	0	0	0	0	2	Multiply $(x - 5)(x + 2)$ using distribution|Multiply $352 \cdot 283$ using an area model.|Multiply $(3x - 1)(6x + 2)$.|Multiply $(-4x - 7)(2x^2 - 3x + 9)$.|Multiply $(x+1)(x-2)(2x-3)$.			
chapters/Unit_5/5.4_Factoring_Polynomials_A.qmd	5	5.4	5.4 - Factoring: GCF & Basic Trinomials		You’ve spent a lot of time learning how to {{< glink simplify >}} expressions: distribute, combine like terms, and rewrite things in cleaner forms.	10	5	0	0	1	1	0	1	Factor $15y^3 - 5y$.|Factor $-18xy^2 + 27x^2y$.|Factor $x^2 + 4x + 4$|Factor $a^2 - 16$.|Factor $-9b^3 + 9b^2 + 18b$.	Put the polynomial in standard form	If you factor out a GCF, don't forget to include it in your answer!	
chapters/Unit_5/5.5_Factoring_Polynomials_B.qmd	5	5.5	5.5 - Factoring: General Trinomials & Special Patterns		Up until now, the trinomials you have been factoring have all started the same way.	7	6	0	0	0	0	0	2	factor $10y^2 + 13y + 3$|factor $14w^2 + 3w - 2$|factor $18p^2 - 13p - 5$|factor $21r^2 + 30r + 9$|factor $49p^2 - 25$|factor $9a^2 - 30a + 25$			
chapters/Unit_6/6.1_Introduction_to_Quadratic_Functions.qmd	6	6.1	6.1 - Introduction to Quadratics		Up to now, we have learned a lot about functions that model situations with straight-line behavior.	11	1	3	0	0	0	1	0	Will $f(x) = 3x^2 - 4x + 1$ open upward or downward?			
chapters/Unit_6/6.2_Graphing_Quadratics.qmd	6	6.2	6.2 – Graphing Quadratics		In the last lesson, you looked at graphs of quadratic functions and learned the key features of a parabola: the vertex, the axis of symmetry, and how the graph can have a maximum or a minimum.	6	3	1	0	0	1	0	1	Graph $g(x) = (x + 1)^2 + 3$.|Find the axis of symmetry for $f(x) = 2x^2 + 4x - 1$|Find the vertex of $f(x) = 2x^2 + 8x - 5$.		Students often forget that $h$ is subtracted and $k$ is added in the formula. For example:	
chapters/Unit_6/6.3_Solving_Quadratic_Equations_by_Factoring.qmd	6	6.3	6.3 - Solving Quadratic Equations by Factoring		In the last two lessons, we learned how to graph quadratic functions and describe the shapes of their parabolas.	8	1	0	0	0	0	0	0	Solve $3x^2 - 7x = 6$			
chapters/Unit_6/6.4_Completing_the_Square.qmd	6	6.4	6.4 - Completing the Square		In the last lesson, we solved quadratic equations by factoring.	8	2	0	0	0	0	0	1	Rewrite $x^2 + 8x$ as a perfect square plus or minus a number.|Solve $x^2 - 10x + 16 = 0$ by completing the square.			
chapters/Unit_6/6.5_The_Quadratic_Formula.qmd	6	6.5	6.5 - The Quadratic Formula		By now, you’ve seen several ways to solve quadratic equations.	3	2	0	0	0	0	0	1	Solve $4x^2 - 5x - 12 = 0$ using the quadratic formula.|Find the discriminant and number of solutions for $x^2 + x - 2 = 0$			
chapters/Unit_6/6.6_Applications_of_Quadratics.qmd	6	6.6	6.6 - Applications of Quadratics		So far, we have focused on how to work with quadratic equations.	0	0	2	0	0	0	0	1				
